product_id,product_title,rating,total_reviews,price,top_reviews
itm015cbd184b0eb,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"7,462","₹10,999",Such an amazing smartphone in this price range ❤️ || The camera is good at this price range Ram could be increased to 6gb atleast The volume button feels Kind of cheap But at this price point you can't really complaint || Beast :) Leaf green color best ✅ Back camera 3.5/5✅ Front camera 5/5✅ Battery 5/5✅ Ram Booster upto 12 GB 🚀5/5 ✅ 120hz refresh rate 🚀 5/5 ✅ Connectivity 5G speed 330+ mbps 5/5 ✅ Design vegan leather finish 5/5 ✅ Display 5/5✅ Sound crystal dolby 5/5 ✅ Charging 3/5 〽️ || Camera is good  network issue || Best Price and Good quality Camera || Nice phone 📱 || Nice Phone budget segment me || For the price excellent mobile and very very prompt delivery from Flipkart. Was delivered in six hours 👌👍 || Incredible || Received same day delivery. Looks good. Need to use for a week to provide experience. Camera is good. Option available to expand the ram upto 12gb
itma3ca32cc93927,"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"7,462","₹10,999",Such an amazing smartphone in this price range ❤️ || The camera is good at this price range Ram could be increased to 6gb atleast The volume button feels Kind of cheap But at this price point you can't really complaint || Beast :) Leaf green color best ✅ Back camera 3.5/5✅ Front camera 5/5✅ Battery 5/5✅ Ram Booster upto 12 GB 🚀5/5 ✅ 120hz refresh rate 🚀 5/5 ✅ Connectivity 5G speed 330+ mbps 5/5 ✅ Design vegan leather finish 5/5 ✅ Display 5/5✅ Sound crystal dolby 5/5 ✅ Charging 3/5 〽️ || Camera is good  network issue || Best Price and Good quality Camera || Nice phone 📱 || Nice Phone budget segment me || For the price excellent mobile and very very prompt delivery from Flipkart. Was delivered in six hours 👌👍 || Incredible || Received same day delivery. Looks good. Need to use for a week to provide experience. Camera is good. Option available to expand the ram upto 12gb
itm0c32a18b0df8a,"Nothing Phone (3) (Black, 256 GB)",4.4,306,"₹79,999","It is able to capture Very good night photos. Telephoto lens is also good 👍 || I have purchased 38k . 1week use Pros : Camera 4.5/5 Battery 2.7/5 Ui 5/5 Os 4.5/5 Experience 4/5 Cons 3 days Glyph matrix interface not working After updating the os Now working fine And Camera ai features not integrated after updating working fine || 📸📷Camera mind-blowing 🔥💯 🎮🎮Performance next level 😍😍 🥇🥇Value for money 💗💗 || World's best 🩵 macro photography || Mobile is ok but Nothing must focus on their camera quality,I used Nothing phone 1,Now having phone 2 and ordered Nothing phone 3 but the things which I noticed till date Nothing is not much caring on Camera quality improvement.Nothing clean UI and bloatfree interface is the thing which i love but lastly once again If Carl Pie will ever read my review he should take it as a serious note and must work on camera quality as it is lacking behind then it's competitors. || Worth for under 40k excellent camera iam impressed || Just noticed fogging inside all 3 rear cameras. Seems the quality control has gone bad for nothing. So IP68 is a gimmick. Rating okayish for the price I had to pay. Hoping that the fogging issue to be solved by Nothing team. || Definitely not worth 80k, but if you buy it under 50k, it is the best phone in all possible ways 📱 || 35k best phone in software and camera || Camera is top notch.everything is excellent 👍👍👍👍👍"
itm0c32a18b0df8a,"Nothing Phone (3) (White, 512 GB)",4.4,60,"₹89,999","The price which I paid for 16/512 variant this is the best phone at that price. Happy with phone it is really premium and flagship in hand feel. || Very good performance 👏👏🎉 || Awesome!!! || People just hype that the phone is not worth.. being as a nothing phone user since 3 years I think this is worth upgrading 🥰. || Mobile is really good I'm happy with this. But also disappointed with delevery driver. He charge me 1200 extra without any reason. || Good worth pri || Don't look at the negative reviews...once you use the phone on a regular basis you will start loving the nothing OS. Camera I would say needs improvement and the glyph matrix has its own uses. Speakers are good. Battery lasts long. Played PUBG and CODM. Runs smooth in max graphics setting in both. Not worth the price it came out at but if you can get it for half the price it's an absolute bargain || Battery capacity is good,camra is sumthing good , gaming phone || Bought this Nothing Phone 3 in BBD offers, it's worth buying at this price range of 55k for High variant, I like the uniqueness of this phone. If getting at this price range and it's worth considering this phone. The only thing I'm a bit disappointed about is the bulky size and battery range is a bit low compared with other mobile brands. Nowadays flagship phones are coming with more than 6000mah battery but this mobile comes with 5500mah battery capacity. || Impressed 👍"
itm0c32a18b0df8a,"Nothing Phone (3) (White, 256 GB)",4.4,306,"₹79,999","It is able to capture Very good night photos. Telephoto lens is also good 👍 || I have purchased 38k . 1week use Pros : Camera 4.5/5 Battery 2.7/5 Ui 5/5 Os 4.5/5 Experience 4/5 Cons 3 days Glyph matrix interface not working After updating the os Now working fine And Camera ai features not integrated after updating working fine || 📸📷Camera mind-blowing 🔥💯 🎮🎮Performance next level 😍😍 🥇🥇Value for money 💗💗 || World's best 🩵 macro photography || Mobile is ok but Nothing must focus on their camera quality,I used Nothing phone 1,Now having phone 2 and ordered Nothing phone 3 but the things which I noticed till date Nothing is not much caring on Camera quality improvement.Nothing clean UI and bloatfree interface is the thing which i love but lastly once again If Carl Pie will ever read my review he should take it as a serious note and must work on camera quality as it is lacking behind then it's competitors. || Worth for under 40k excellent camera iam impressed || Just noticed fogging inside all 3 rear cameras. Seems the quality control has gone bad for nothing. So IP68 is a gimmick. Rating okayish for the price I had to pay. Hoping that the fogging issue to be solved by Nothing team. || Definitely not worth 80k, but if you buy it under 50k, it is the best phone in all possible ways 📱 || 35k best phone in software and camera || Camera is top notch.everything is excellent 👍👍👍👍👍"
itmb57aad9fe876e,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)",4.2,92,"₹12,177","Nice || Very best product for the Mummy || Very nice 👍 || Super || Very good at this price || Not bad || Price  range ok || The best phone i have ever used. Its better than its cast model Vivo T10 lite 5g.... it comes with pre applied screen protector and case. Charging is a bit slow. Otherwise its a good phone. || very nice product,low range absolutely awesome phone || Nice product"
itmb57aad9fe876e,"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",4.3,103,"₹15,479","The mobile is good working.....but sound is too slow.... Colour is super || Charging time is more like 3+ hours to complete  100%, apart from this mobile is good within 10k - 13k budget || Good Mobile || Super || Super good || Camera may be better. || Good || Almost good for this price 👍 price very genuine for this 5 g || good mobile || Awsome product iqoo z10 lite on fire🔥 i am very satifid gamming booster jast cool thank you flipcard💚❤️👌👌 Over all so good💚❤️🔥🔥"
itmb57aad9fe876e,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",4.2,92,"₹12,039","Nice || Very best product for the Mummy || Very nice 👍 || Super || Very good at this price || Not bad || Price  range ok || The best phone i have ever used. Its better than its cast model Vivo T10 lite 5g.... it comes with pre applied screen protector and case. Charging is a bit slow. Otherwise its a good phone. || very nice product,low range absolutely awesome phone || Nice product"
itmb8f9d8e7c62ab,"LAVA AGNI 2 5G (Glass Heather, 256 GB)",3.9,15,"₹16,999","Excelent mobile.Very good product Lava Agni 2 5G..Camera good.Display screen colours very good..Hight speed data fast👍 Video hight Quality and good sound.and problem few Syestem Update not finish.Andaroid 13 same.and wrong have storage 256GB used SD card slot not suprot.good flipkart thanks. || Really amazing phone!! || Good product || Good || Fantastic and budget friendly || Super mobile.,,camera super display super || Perfect Mobile Approx 20k || According to me, it is the perfect smartphone till date. || I have use this phone in 1year truly very good performance and camera and display || Love it"
itm6af2d5a28b88b,"LAVA Blaze X 5G (Starlight Purple, 128 GB)",4.1,14,"₹13,990","Product acha he but camra || Product good 👍 || Very nice product I love Indian company ❤️ an thankyou so much Flipkart || Good if low budget,love it || This phone is amazing I am using the phone after 3 month but this phone is very good quality || Proudly Indian Company Best Mobile In This Budget I LOVE This || Nice Phone || Value of money💙💙 Love it❤️❤️ || Good lava || Automatic display creck ho gai 6 month me"
